fecha,descripcion,monto,tipo,categoria
2025-01-01,Transferencia a familiar,9.41,gasto,Otros Gastos y Diversos
2025-01-01,Uber panadería,17.52,gasto,Transporte y Comunicaciones
2025-01-01,Peluqueria,4.28,gasto,Otros Gastos y Diversos
2025-01-01,Anticuchos,12.04,gasto,Alimentacion (Fuera)
2025-01-03,Zapatos,2.82,gasto,Vestido y Calzado
2025-01-03,Panaderia panadería,19.57,gasto,Alimentacion (Hogar)
2025-01-03,Ingreso por horas extra,99.58,ingreso,Salario
2025-01-04,Artículos de limpieza y hogar,29.28,gasto,Mobiliario y Enseres
2025-01-04,Oechsle,2.59,gasto,Vestido y Calzado
2025-01-04,Market bodega,27.68,gasto,Alimentacion (Hogar)
2025-01-05,Cuidado personal,6.42,gasto,Otros Gastos y Diversos
2025-01-05,Netflix suscripción mensual,7.3,gasto,Educacion y Ocio
2025-01-05,Cosmetico,5.77,gasto,Vestido y Calzado
2025-01-06,Pollo a la brasa,10.46,gasto,Alimentacion (Fuera)
2025-01-06,Spotify suscripción mensual,7.26,gasto,Educacion y Ocio
2025-01-07,Farmacia mifarma,18.45,gasto,Salud
2025-01-08,Regalo,9.95,gasto,Otros Gastos y Diversos
2025-01-08,Pago alquiler departamento,64.2,gasto,Vivienda y Servicios
2025-01-08,Perfume,8.1,gasto,Vestido y Calzado
2025-01-09,Leche compras semanales,21.16,gasto,Alimentacion (Hogar)
2025-01-10,Accesorio,6.16,gasto,Vestido y Calzado
2025-01-10,Luz del Sur recibo mensual,70.74,gasto,Vivienda y Servicios
2025-01-10,Venta de ropa en buen estado,66.39,ingreso,Otros Ingresos
2025-01-11,Vitaminas,20.88,gasto,Salud
2025-01-11,Mercado panadería,20.78,gasto,Alimentacion (Hogar)
2025-01-11,Cafe,8.14,gasto,Alimentacion (Fuera)
2025-01-12,Sedapal recibo mensual,63.57,gasto,Vivienda y Servicios
2025-01-12,Pollo a la brasa,10.55,gasto,Alimentacion (Fuera)
2025-01-13,Uber compras semanales,11.88,gasto,Transporte y Comunicaciones
2025-01-14,Metro bodega,22.93,gasto,Alimentacion (Hogar)
2025-01-15,Claro internet y telefono,72.46,gasto,Vivienda y Servicios
2025-01-15,Estacionamiento bodega,14.29,gasto,Transporte y Comunicaciones
2025-01-16,Taxi panadería,18.1,gasto,Transporte y Comunicaciones
2025-01-16,Ripley,7.55,gasto,Vestido y Calzado
2025-01-17,Anticuchos,14.24,gasto,Alimentacion (Fuera)
2025-01-17,Wong panadería,22.44,gasto,Alimentacion (Hogar)
2025-01-18,Peluqueria,3.94,gasto,Otros Gastos y Diversos
2025-01-18,Plaza vea bodega,27.66,gasto,Alimentacion (Hogar)
2025-01-18,Pollo a la brasa,10.21,gasto,Alimentacion (Fuera)
2025-01-18,Tienda,6.65,gasto,Vestido y Calzado
2025-01-18,Cosmetico,6.46,gasto,Vestido y Calzado
2025-01-18,Tienda,4.54,gasto,Vestido y Calzado
