fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,SIB. FRASCO PALILLO 80 GR,und,5.10
2025-12-02,FREJOL CANARIO X KG,kg,10.50
2025-12-02,UNIVERSAL FLAN VAINILLA 150 GR,und,4.50
2025-12-02,KIWIGEN 400 GR CHOCOLATE,und,20.90
2025-12-02,KIWIGEN 400 GR VAINILLA,und,21.90
2025-12-02,SIB. FRASCO SAZONADOR 80 GR,und,5.90
2025-12-02,ANGEL FLAKES 130GR,und,3.30
2025-12-02,KIRMA 45GR SOBRE,und,6.90
2025-12-02,ANGEL CHOCK CEREAL 130GR,und,3.30
2025-12-02,ANGEL COPIX CHOCOLATE 120 GR,und,3.30
2025-12-02,CUSI CUSA ARROZ SUP. 10KG,und,38.20
2025-12-02,AVENA INTEGRAL 500GR GRANO DE ORO,und,4.80
2025-12-02,BENOTI FIDEOS SPAGHETTI 500GR,und,2.40
2025-12-02,DON VITTORIO 235GR CODO CHICO,und,1.90
2025-12-02,DON VITTORIO FIDEO LETRAS Y NUM. 235GR,und,1.90
2025-12-02,FIDEO CARACOL 225GR NICOLINI,und,1.50
2025-12-02,PYC TURRON D/DOÑA PEPA 500GR,und,16.90
2025-12-02,BENOTTI FIDEO RIGATONE 250GR,und,1.20
2025-12-02,DEL CIELO FIDEOS CANUTO CHICO 250G,und,1.00
2025-12-02,LENTEJA AMERICANA KG,kg,6.29
2025-12-02,ARVEJA VERDE X KG,kg,5.89
2025-12-02,MAIZ POP CORN,kg,6.29
2025-12-02,DEL CIELO FIDEOS CANUTO GRANDE 250G,und,1.00
2025-12-02,DEL CIELO FIDEO SPAGUETTI 500G,und,1.60
2025-12-02,DEL CIELO ACEITE 900 ML,und,6.80
2025-12-02,DEL CIELO FIDEOS CODO RAYADO 250G,und,1.00
2025-12-02,A LA CENA MAYONESA NUEVO 475 GR,und,14.20
2025-12-02,UNION PAN AMERICANO SANDWICH 540GR,und,6.90
2025-12-02,UNION PAN INTEGRAL SANDWICH CLASICO 540GR,und,7.50
2025-12-02,XANDER TRIGO ACARAMELADO 135GR,und,3.30
2025-12-02,XANDER BOLI CHOCO 135GR,und,3.20
2025-12-02,HUNTS BBQ SALSA C/MIEL 620GR,und,15.90
2025-12-02,HUNTS WINGS SALSA PICANTE 550GR,und,17.50
2025-12-02,PAM ORIGINAL ACEITE SPRAY 170GR,und,24.90
2025-12-02,HELLMANNS MAYONESA REAL 340ML,und,19.90
2025-12-02,DEL CIELO FIDEO TALLARIN 500G,und,1.60
2025-12-02,HUNTS SALSA BBQ ORIGINAL 510GR,und,17.50
2025-12-02,HELLMANNS KETCHUP 500GR,und,14.60
2025-12-02,MILO 700 GR. DOYPACK,und,28.90
2025-12-02,MILO 940GR NESTLE,und,49.90
2025-12-02,MILO 90 GR DOYPACK,und,5.90
2025-12-02,MILO 350 GR DOYPACK,und,16.90
2025-12-02,MILO LATA 380 GR,und,21.90
2025-12-02,DEL CIELO FIDEOS TUBO RAYADO 250G,und,1.00
2025-12-02,UNION GRANOLA C/MIEL DE ABEJA 400 GR,und,13.90
2025-12-02,UNION GRANOLA C/GRANOS ANDINOS 280G.,und,13.90
2025-12-02,UNION GRANOLA KRANCH 270GR.,und,13.90
2025-12-02,UNION GRANOLA PASAS/ALMENDRAS 400GR,und,13.90
2025-12-02,GOURMET PASTA DE TOMATE 680GR,und,11.90
2025-12-02,PRIMOR FILETE DE ATUN 140GR,und,5.40
2025-12-02,GRANO DE ORO AVENA 170G,und,1.70
2025-12-02,CUSCO REAL P/TAZA CAN/CLAVO 80 GR,und,1.60
2025-12-02,FIDEO MACARRON 235GR NICOLINI,und,1.50
2025-12-02,NICOLINI FIDEO RIGATONI 235GR,und,1.50
2025-12-02,TORNILLO MULTICERE.225G GRANO D/ORO,und,1.50
2025-12-02,AVENA 500GR GRANO DE ORO,und,4.80
2025-12-02,DON VITTORIO SALSA ROJA 200GR,und,3.90
2025-12-02,DON VITTORIO SALSA ROJA 400GR,und,6.40
2025-12-02,DON VITTORIO SEMOLA 200GR,und,2.20
2025-12-02,RIKOSFOODS AJI ESPECIAL PANCA 38 GR,und,1.50
2025-12-02,BENOTI FIDEOS TALLARIN 500GR,und,2.40
2025-12-02,REGGIA FUSILLI TRICOLORE TORNILLO 500GR,und,9.90
