fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,CERDO MOLIDO X KG,kg,19.50
2025-12-02,T-BONE DE RES X KG.,kg,53.50
2025-12-02,PECHO D/RES KG,kg,23.90
2025-12-02,LOMO FINO CERDO PREMIUM X KG,kg,22.00
2025-12-02,RES CORTE TOMAHAWK X KG.,kg,50.60
2025-12-02,LOMO - BIFE DE CERDO FRESCO X KG con grasa,kg,23.50
2025-12-02,CARNE MOLIDA X KG,kg,23.90
2025-12-02,AMERICANA HAMB.LA CASERITA 16 UND,und,9.90
2025-12-02,PIERNA ENTERA PREMIUM,kg,17.30
2025-12-02,POLLO MERCADO FRESCO,kg,8.79
2025-12-02,ASADO D/TIRA-PALETA X KG,kg,25.50
2025-12-02,PIERNA C/P S/H PREMIUM,kg,19.50
2025-12-02,BISTECK MOLIDO x kg,kg,30.90
2025-12-02,COSTILLA P/BARBACOA PREMIUM,kg,18.00
2025-12-02,PECHUGA ESPECIAL,kg,15.30
2025-12-02,UMIFOODS MIXTURA D/MARISCOS KG.,und,22.00
2025-12-02,PIERNA DE PAVO MEDIANA AHU. X UND,und,34.50
2025-12-02,UMI FOODS CUBOS D/ATUN CONG. 500GR,und,21.00
2025-12-02,CHULETA CON PIEL DE CERDO KG.,kg,20.00
2025-12-02,ASADO PEJERREY X KG,kg,40.20
2025-12-02,HAMBURGUESA DE CERDO X KG,kg,23.90
2025-12-02,TOCINO - PANCETA x KG,kg,28.00
2025-12-02,CHURRASCO LARGO X KG,kg,35.20
2025-12-02,PIERNA DE POLLO X kg Fresco,kg,12.50
2025-12-02,CHURRASCO PARRILLERO KG.,kg,32.50
2025-12-02,OSOBUCO DE RES X KG,kg,24.90
2025-12-02,BRA.ENT.S/P S/H PREMIUM X KG,kg,21.50
2025-12-02,PIERNA DE CERDO.S/P S/H PREMIUM x KG.,kg,21.50
2025-12-02,BRAZUELO CON PIEL SIN HUESO X KG PREMIUM,kg,20.10
2025-12-02,BISTECK BOLA D/LOMO,kg,40.30
2025-12-02,MIXTURA DE MARISCOS X 500 GR,und,13.90
2025-12-02,CALAMAR EN ANILLOS X 300 GR,und,11.50
2025-12-02,HAMBURGUESA DE RES KG,kg,22.90
2025-12-02,HAMBURGUESA GRILL PARRILLERA FINAS HIERBAS X KG,kg,22.90
2025-12-02,HAMBURGUESA DE POLLO CANDY X KG.,kg,20.90
2025-12-02,UMI FOODS FILETE TILAPIA KG,und,20.90
2025-12-02,PULPETE RODAJAS X 500 GR,und,15.50
2025-12-02,PIERNA C/ENCUENTRO X KG,kg,12.80
2025-12-02,DIPEMAR LANGOSTINO MEDIANO X 500GR,und,27.50
2025-12-02,CHORITOS X 300 GR,und,10.90
2025-12-02,MONDONGO X KG,kg,13.50
2025-12-02,BRAZO ENTERO PREMIUM,kg,16.80
2025-12-02,BOFE DE RES X KG,kg,9.90
2025-12-02,SANCOCHADO DE RES,kg,23.30
2025-12-02,MONDONGO PICADO KG,kg,17.30
2025-12-02,BONDIOLA C/H C/P PREMIUM,kg,19.50
2025-12-02,MUSLO DE POLLO X Kg Fresco,kg,12.90
2025-12-02,HAMBURGUESA DE RES PREMIUM CANDY X KG,kg,25.90
2025-12-02,COSTILLA T/TONY ROMAS PREMUIM,kg,23.60
2025-12-02,LOMO FINO RES,kg,71.90
2025-12-02,BONDIOLA DE CERDO X KG,kg,22.50
2025-12-02,CHULETA DE LOMO X KG PREMIUM,kg,19.50
2025-12-02,PIERNA PARRILLERA DE CERDO x kg,kg,19.50
2025-12-02,PECHUGA D/POLLO FILETE KG.,kg,20.90
2025-12-02,COSTILLA DE LOMO C/PIEL X KG,kg,18.40
