fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,AJÍ DE LA CASA CANDY KG.,kg,22.90
2025-12-02,AJÍ DE POLLERÍA CANDY X KG.,kg,2.19
2025-12-02,AJÍ ESPECIAL PREPARADO KG.,kg,2.19
2025-12-02,ENROLLADO RELLENO X KG,kg,36.60
2025-12-02,POLLADA X KG,kg,13.90
2025-12-02,ALIÑO CANDY KG,kg,2.49
2025-12-02,AJO MOLIDO KG,kg,3.20
2025-12-02,CULANTRO MOLIDO KG,kg,1.19
2025-12-02,AJI PANCA MOLIDO KG,kg,1.99
2025-12-02,AJI COLORADO MOLIDO KG,kg,1.65
2025-12-02,POLLO ENROLLADO KG,kg,31.90
2025-12-02,LOMO FINO D/CERDO APANADO X KG,kg,22.90
2025-12-02,POLLO ESTILO BRASA X KG,kg,17.90
2025-12-02,ROCOTO ANTICUCHERO X KG CANDY,kg,2.39
2025-12-02,CHIMICHURRI CANDY X KG,kg,2.45
2025-12-02,NABO ENCURTIDO X KG CANDY,kg,1.75
2025-12-02,RABANITO ENCURTIDO X KG CANDY,kg,1.75
2025-12-02,BISTECK D/RES APANADA KG,kg,37.90
2025-12-02,MILANESA DE POLLO X KG,kg,20.90
2025-12-02,BONDIOLA ADEREZADA CANDY X KG,kg,29.00
2025-12-02,CHULETA PARRILLERA KG ADEREZADA,kg,27.90
2025-12-02,POLLO PARRILLERO ADEREZADO X KG,kg,20.90
2025-12-02,PECHUGA PARRILLERA CANDY KG,kg,24.90
2025-12-02,MOLLEJITAS PARRILLERAS KG,kg,15.90
2025-12-02,PIERNA PARRILLERA ADEREZADA CANDY,kg,23.00
2025-12-02,BISTECK ADEREZADO CANDY,kg,41.20
2025-12-02,CHURRASCO ADEREZADO PARRILLERO X KG,kg,31.90
2025-12-02,ANTICUCHO DE RES KG,kg,28.90
2025-12-02,ADOBO DE CERDO X KG,kg,22.90
