fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,FRANKFURTER PREMIUM X KG,kg,36.50
2025-12-02,PACK JAMÓN Y QUESO X 400 GR (PESO APROX),paquete,14.50
2025-12-02,CHORIZO PARRILLERO ARTESANAL CANDY X KG,kg,26.90
2025-12-02,CHORIZO FINAS HIERBAS ARTESANAL CANDY X KG,kg,28.90
2025-12-02,CHORIZO PICANTE ARTESANAL CANDY,kg,28.90
2025-12-02,LOMO AHUMADO NUEVO X KG CERDEÑA procesado,kg,42.50
2025-12-02,CHORIZO DE RES ARTESANAL CANDY X KG,kg,28.90
2025-12-02,CHORIZO C/CHIMICHURRI ARTESANAL CANDY,kg,28.90
2025-12-02,SALCHICHA PICANTE X KG CERDEÑA,kg,43.40
2025-12-02,SALCHICHA VIENESA PREMIUM X KG CERDEÑA,kg,17.49
2025-12-02,CHORIZO FINAS HIERBAS X 12 UND AMERICANA,paquete,16.20
2025-12-02,CHORIZO PRECOCIDO X 6 AMERICANA,und,9.00
2025-12-02,JAMON DEL PAIS,kg,41.00
2025-12-02,SALCHICHA VIENESA PACK 960 GR,und,14.30
2025-12-02,CHORIZO FINAS HIERBAS KG. CERDEÑA,kg,31.50
2025-12-02,AMERICANA LOMO KG,kg,44.50
2025-12-02,JAMON PIZZA KG,kg,22.20
2025-12-02,FRANKFURTER 500 GR ECO.,und,16.50
2025-12-02,JAMONADA ESPECIAL X KG,kg,20.90
2025-12-02,SALCHICHA HUACHO ARTESANAL CANDY,kg,22.50
2025-12-02,CERDEÑA CHICHARRON D /PRENSA KG,kg,32.20
2025-12-02,JAMONADA EXTRA ESP.KG CERDEÑA,kg,24.90
2025-12-02,JAMON DEL PAIS NATURAL,kg,57.90
2025-12-02,HOT DOG FRANKFURT 500GR,und,15.70
2025-12-02,CHORIZO PARR.ECONOMICO PEPITO,kg,20.90
2025-12-02,CHICHARRON PEPITO KG,kg,24.50
2025-12-02,LOMO AHUMADO x kg tradicional,kg,52.00
2025-12-02,DON PEPITO HOT DOG D/POLLO X 30 UN,und,8.80
2025-12-02,SALCHICHA ROSADA C/ POLLO 960GR,und,9.90
2025-12-02,RELLENO ARTESANAL CANDY X KG,kg,27.00
2025-12-02,FRANKFURTER 960 GR,und,15.90
2025-12-02,CHORIZO ARTESANAL CANDY X KG,kg,26.90
2025-12-02,CHORIZO PARRILLERO COCIDO X6UN CERDEÑA,und,12.50
2025-12-02,PACK D/ CHORIZO ARTESANAL CANDY X 5 UND,und,14.90
2025-12-02,CERDEÑA SALCHICHA VIENESA PACK,und,14.50
2025-12-02,AMERICANA JAMON DEL PAIS EXTRAG.,kg,38.50
2025-12-02,PANCHOS PARRILLEROS POLLO AMERICANA,und,9.40
2025-12-02,PANCHOS PARRILLEROS CERDO AMERICANA,und,9.40
2025-12-02,SALCHICHA HUACHO KG,kg,23.90
2025-12-02,JAMON ING.EXTRA CERDEÑA,kg,40.20
2025-12-02,JAMÓN INGLES PEPITO KG,kg,16.50
2025-12-02,CHICHARRON 100 GR CERDEÑA,und,3.40
2025-12-02,FRANKFURTER ECONOMICA X 1KG CERDEÑA,paquete,27.50
