fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,DURACELL (AA) X 2 1500 B2,und,6.70
2025-12-02,DURACELL AAA X 2,und,6.70
2025-12-02,VISTONY SILICONA PROTECTORA 356 ML,und,14.50
2025-12-02,VISTONY SILICONA WHITE A/FRESA 120ML,und,4.00
2025-12-02,VISTONY CERA LIQUIDA 250 ML.,und,11.50
2025-12-02,VISTONY BRILLANTA 300 ML,und,12.50
2025-12-02,VISTONY AFLOJATODO ZK-90,und,23.00
2025-12-02,VISTONY SILICONA WHITE 300 ML,und,11.30
2025-12-02,VISTONY LIQUIDO P/FRENO 8 ONZ.,und,6.90
2025-12-02,VISTONY EP-2 LITHIUM MULTIPRO. AMARILLO 453GRS,und,10.00
2025-12-02,VISTONY SHAMPOO 3EN1 LT,und,13.70
2025-12-02,VISTONY SINTEKS200 10W-30 250ML,und,22.30
2025-12-02,VISTONY ATTOM SAE 5W30 1/4 GALON,und,35.90
2025-12-02,VISTONY ICE FREEZE ORGANICO 1/4GL,und,16.50
2025-12-02,VISTONY LIMPIA PARABRISAS 1 LT,und,6.20
2025-12-02,VISTONY ATTOM RAYVON 4T 15W50 MA2 1/4 GALON,und,35.90
2025-12-02,VISTONY AGUA P/BATERIAS 1 LT,und,3.00
2025-12-02,VISTONY LIQUIDO P/RADIADOR ROJO GL.,und,10.00
2025-12-02,VISTONY LIQUIDO P/RADIADOR GL.VERDE,und,9.90
2025-12-02,VISTONY LIMPIA PARABRISAS GALON,und,12.50
2025-12-02,VISTONY AGUA P/BATERIA GALON,und,5.90
