fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,AGUAYMANTO PACK X KG,kg,6.49
2025-12-02,CANELA ENTERA A GRANEL X KG.,kg,9.99
2025-12-02,PISTACHOS SALADOS X KG,kg,9.19
2025-12-02,NUECES DE CAJU FRITO SALADO X KG,kg,9.89
2025-12-02,SEMILLA DE GIRASOL S/CASCARA X KG,kg,1.85
2025-12-02,ARANDANOS SECOS X KG.,kg,4.19
2025-12-02,CLAVO DE OLOR X KG,kg,7.69
2025-12-02,OREJONES A GRANEL X KG,kg,11.9
2025-12-02,DAMASCO APRICOT X KG,kg,6.69
2025-12-02,MANZANA CHILENA VERDE,kg,9.99
2025-12-02,MANZANA CHILENA ROJA,kg,9.99
2025-12-02,UVA SUPERIOR X KG,kg,9.69
2025-12-02,MEMBRILLO X KG,kg,5.69
2025-12-02,NARANJA POSTRE KG,kg,9.29
2025-12-02,PLATANO PALILLO KG,kg,3.49
2025-12-02,PLATANO VERDE KG ORGANICO,kg,2.99
2025-12-02,HIERBA BUENA UND,und,0.30
2025-12-02,PEREJIL UND,und,0.50
2025-12-02,CULANTRO UND,und,1.00
2025-12-02,NABO,und,0.80
2025-12-02,OLLUCO KG,kg,7.59
2025-12-02,KION KG,kg,10.39
2025-12-02,GUINDONES A GRANEL X KG.,kg,34.90
2025-12-02,APIO UND,und,1.70
2025-12-02,ALBAHACA UND,und,0.70
2025-12-02,LECHUGA AMERICANA UND,und,2.70
2025-12-02,PAPA AMARILLA X KG,kg,2.99
2025-12-02,ESPINACA X KG,kg,5.79
2025-12-02,MANZANA ISRAEL,kg,2.79
2025-12-02,PERA CHILENA X KG,kg,8.79
2025-12-02,VAINITA KG,kg,6.29
2025-12-02,ARVEJA X KG,kg,3.89
2025-12-02,ZAPALLO MACRE KG,kg,3.69
2025-12-02,AJI AMARILLO,kg,8.80
2025-12-02,FRESA EMPACADA X KG.,kg,7.99
2025-12-02,MELON KG,kg,2.15
2025-12-02,NARANJA PARA JUGO KG,kg,1.79
2025-12-02,MAÍZ MORADO KG,kg,7.75
2025-12-02,MANZANA PARA AGUA X KG,kg,4.49
2025-12-02,PIÑA GOLDEN KG,kg,2.59
2025-12-02,BROCOLI KG,kg,2.59
2025-12-02,YUCA KG,kg,3.89
2025-12-02,CEBOLLA BLANCA KG,kg,4.39
2025-12-02,AJO ENTERO KG,kg,19.00
2025-12-02,AJO PELADO EXTRA LIMPIO KG.,kg,19.00
2025-12-02,CEBOLLA ROJA KG,kg,2.49
2025-12-02,PAPA YUNGAY X KG,kg,1.09
2025-12-02,TOMATE KG,kg,4.99
2025-12-02,PAPAYA X KG,kg,5.95
2025-12-02,MARACUYA KG,kg,5.99
2025-12-02,ZANAHORIA KG,kg,2.69
2025-12-02,LIMON VERDE X KG,kg,2.99
2025-12-02,PLÁTANO SEDA ORGANICO KG,kg,2.89
2025-12-02,PALTA FUERTE,kg,12.99
2025-12-02,CHOCLO UND,und,2.30
2025-12-02,PAPA ROSADA KG,kg,1.10
2025-12-02,ARÁNDANO KG,kg,21.90
