fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,CHIFLES X KG.,kg,22.90
2025-12-02,SAN JORGE COCONUT 1/2 KG,und,5.90
2025-12-02,SAN JORGE FRUTA MIXTA 1/2 KG,und,5.90
2025-12-02,COSTA AGUA LINE PX6,paquete,4.90
2025-12-02,COSTA GALL.SODA LINE PX6,und,4.90
2025-12-02,COSTA GALLETA INTEGR X 6,und,4.50
2025-12-02,MELLOWS 230 GR,und,5.90
2025-12-02,BON O BON MINI-CORAZON POTE 105GR,und,17.50
2025-12-02,MAZAMORRA MORADA 250G DON LUCHO,und,3.30
2025-12-02,COSTA CHOCMAN BLACK. (PX6U),und,4.50
2025-12-02,PAPAS EN HOJUELAS X KG.,kg,34.50
2025-12-02,SAN JORGE SODA 12 UND (PX7),paquete,4.50
2025-12-02,CASINO GALLE.CHOCOLATE X 6,und,5.10
2025-12-02,CASINO GALLE.VAINILLA X 6,und,5.10
2025-12-02,CASINO GALLE.LUCUMA X 6,paquete,5.10
2025-12-02,VICTORIA MARQUESITAS S/NARANJA (PX6),und,5.90
2025-12-02,GOMITA DELFIN X KG.,kg,27.90
2025-12-02,ARTICHAY CHIFLES C/SALSA ACEVICHADA 120GR,und,9.00
2025-12-02,WAFER NIK VAINILLA 162GR,und,4.20
2025-12-02,WAFER NIK CHOCOLATE 162GR,und,4.20
2025-12-02,BESOS DE MOZA X 9,und,10.50
2025-12-02,NESTLE BOMBON MULTIPACK 360 GR,und,25.90
2025-12-02,NESTLE BOMBONES TRIANGULO 136GR,und,12.90
2025-12-02,PRINGLES 37 ORIGINAL,und,5.50
2025-12-02,PRINGLES CREMA Y CEBOLLA 124 GR,und,10.90
2025-12-02,ROCHER FERRERO BOMBONES X 100 GR,und,25.90
2025-12-02,GUANDY MARSHMALLOWS BICOLOR 255GR,und,7.50
2025-12-02,GUANDY MARSHMELLOWS BLANCO 255GR,und,7.50
2025-12-02,MONEDAS DE CHOCOLATE KG,kg,57.90
2025-12-02,SAN JORGE SODA GOURMET 250GR,und,4.00
2025-12-02,COSTA VIZZIO 69 GR,und,5.40
2025-12-02,CHIFLES C/ CANCHITA X KG,kg,26.00
2025-12-02,PRETTIES KIDS ORIGINAL 227GR,und,8.50
2025-12-02,COSTA CHOCMAN BIZCOCHO X 6 201GR,und,4.50
2025-12-02,SAYON MARGARITA GALLETA (PX6),und,5.00
2025-12-02,FIELD CREAM CRACKERS GALL.SALADA 258GR,und,6.90
2025-12-02,NESTLE DORE 230 GR,und,5.50
2025-12-02,NOEL GALLETA DUCALES 241 GR,und,5.90
2025-12-02,BON O BON MINI OBLEA/WAFER X 24 UND ARCOR,bl,13.00
2025-12-02,WINTERS CHIN CHIN SORPRESA 80 UN,und,37.50
2025-12-02,HENGYU GALLETA S/ FRESA 48G,und,5.00
2025-12-02,HENGYU GALLETA S/PIÑA 48G,und,5.00
2025-12-02,HENGYU GALLETA S/CACAO 48G,und,5.00
2025-12-02,PALITO D/GALLETA C/CHOCO/ARAND.45G,und,5.80
2025-12-02,RONAYA MARSHMALLOW VAINILLA 100 GR,und,5.00
2025-12-02,MEIJUE CARAMELO BLANDO RELLENO LYCHEE,und,6.20
2025-12-02,PEPERO ORIGINAL X 47 GR,und,5.00
2025-12-02,PEPERO CHOCO COOKIE X 32 GR,und,5.00
2025-12-02,PEPERO ALMENDRA 32 GR GALLETA PALITO,und,5.00
2025-12-02,BIAOWEIZU GALL.CRUJIENT.S/CACAO,und,4.50
2025-12-02,ARCOR CARAMELO STRAWBERRY CANDY 100 UND,und,14.90
2025-12-02,ARCOR CARAMELO MENTA CHOCO 365GR,und,12.90
2025-12-02,ARCOR BUTTER TOFFEES 400 GR,und,12.70
2025-12-02,ARCOR BUTTERS TOFFE LECHE 390GR,und,12.90
2025-12-02,ARCOR CARAMELO CHICHA MORADA 100 UND,und,9.90
2025-12-02,ACTII POP CORN QUESO JALAPEÑO 89GR,und,8.20
2025-12-02,ACTII PALOMITAS S/NATURAL 80GR,und,4.90
2025-12-02,ACT II PALOMITAS S/MANTEQUILLA 80GR,und,4.90
