fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,GLORIA BEB. 1.5LT D/DURAZNO,und,4.30
2025-12-02,GLORIA BEB. 1.5L D/NARANJA,und,4.30
2025-12-02,TAMPICO 3.78 LT ISLAND PUNCH,und,12.60
2025-12-02,TAMPICO 3.78 LT CITRUS,und,12.80
2025-12-02,FREE TEA 450 ML,und,2.40
2025-12-02,FREE TEA NEGRO DURAZNO 500 ML,und,2.50
2025-12-02,FREE TEA NEGRO FRUTOS ROJOS 500 ML,und,2.50
2025-12-02,FREE TEA NEGRO LIMON 500 ML,und,2.50
2025-12-02,FREE TEA TE VERDE 500 ML,und,2.50
2025-12-02,SPORADE 500 ML BLUBERRY T/PLATA,und,2.50
2025-12-02,SPORADE 500 ML MANDARINA T/PLANA,und,2.50
2025-12-02,SPORADE TROPICAL 500ML,und,2.50
