fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,GLORIA LECHE RECONS.AZUL 390 GR PX6,paquete,22.90
2025-12-02,BONLE QUESO FRESCO 400GR APROX,und,13.90
2025-12-02,BONLE QUESO EDAM KG,kg,4.79
2025-12-02,BONLE QUESO FUNDIDO 136 GR,und,7.10
2025-12-02,IDEAL CREMOSITA 390G,und,3.95
2025-12-02,HUEVO BLANCO LA CALERA PACK X 15 UND,paquete,11.60
2025-12-02,HUEVO PARDO SUPER JUMBO X 10 LA CALERA,und,10.50
2025-12-02,PACK X 3 LECHE LT AZUL GLORIA,paquete,16.90
2025-12-02,LAIVE QUESO CHEDDAR 8 TAJADAS,und,9.60
2025-12-02,HUEVOS D/CORRAL 12UND,und,12.95
2025-12-02,GLORIA YOGURT GRIEGO C/MIEL 800GR,und,7.80
2025-12-02,GLORIA YOGURT GRIEGO C/FRUT-ROJOS 800GR,und,7.80
2025-12-02,BATTI MIX VAINILLA C/CHOCOLATE 146 GR GLORIA,und,3.60
2025-12-02,LECHE NIÑOS 1LT GLORIA,und,5.80
2025-12-02,BONLE QUESO CHEDDAR 136GR,und,7.20
2025-12-02,QUESO MOZZARELLA 250 gr Gloria,und,12.50
2025-12-02,SORINI CREMA DE AVELLANAS ITALIANA 350 GR,und,23.00
2025-12-02,GLORIA LECHE S/LACTOSA 900ML,und,5.00
2025-12-02,GLORIA LECHE BOLSA AZUL 900 ML,und,4.80
2025-12-02,LAIVE LECHE SIN LACTOSA 400 G FRASCO,frasco,4.20
2025-12-02,SHAKE S/CAPUCCINO 320ML GLORIA,und,3.90
2025-12-02,SHAKE MOCACCINO 320ML Gloria,und,3.90
2025-12-02,ANCHOR EN POLVO 800 GR,und,31.20
2025-12-02,NESTLE LECHE CONDENSADA 90 GR DOY,und,3.50
2025-12-02,LAIVE QUESO EDAM SIN LACTOSA 180GR,und,11.90
2025-12-02,LECHE CONCENT.6.4% GRASA 400G,und,4.20
2025-12-02,MEZCLA LACTEA CREMOCITA 480GR,und,3.90
2025-12-02,GLORIA MANTEQUILLA 90 GR,und,6.60
2025-12-02,SELLO DE ORO BARRA 200 GR,und,4.70
2025-12-02,QUINUA AVENA 370 GR GRANO DE ORO,und,3.60
2025-12-02,BONLE FAMILIAR MEZCLA LACTEA PX6UN,und,21.90
2025-12-02,BONLE SIN LACTOSA 480 GR PX6,paquete,21.50
2025-12-02,GLORIA LECHE ENTERA MORADA 390 GR,und,4.20
2025-12-02,YOMOST FRESA 180 ML PX6,paquete,13.00
2025-12-02,GLORIA LECHE RECONS.AZUL TARRO 390GR,und,3.65
2025-12-02,GLORIA MANTEQUILLA C/SAL 180GR.,und,11.90
2025-12-02,LA CALERA HUEVO PARDOS 30UND,und,17.90
2025-12-02,BONLE QUESO EDAM 90GR,und,5.60
2025-12-02,ANCHOR LECHE EN PÒLVO 96GR,und,4.60
2025-12-02,GLORIA LECHE UHT 946 ML ENTERA,und,5.80
2025-12-02,MANTEQUILLA DE MANI 340GR,und,17.50
2025-12-02,GLORIA MANTEQ. POTE C/SAL 180GR,und,12.20
2025-12-02,GLORIA BATTI SHAKE FRESA 120 GR,und,1.50
2025-12-02,BATTI SHAKE VAINILLA 120 GR GLORIA,und,1.50
2025-12-02,QUESO BIO MOZZARELLA X KG.,kg,37.50
2025-12-02,HUEVO D/CODORNIZ X 18 LA CALERA,und,8.50
2025-12-02,GLORIA SLIM KG DURAZNO,und,6.90
2025-12-02,GLORIA SLIM KG VAINILLA,und,6.90
2025-12-02,GLORIA SLIM KG YOGURT 0% FRESA,und,6.90
2025-12-02,QUESO CREMA 80 GR JAMON,und,3.50
2025-12-02,"QUESO FUN, NATURAL 80GR",und,3.50
2025-12-02,GLORIA ACTIBIO KG FRESA,und,6.90
2025-12-02,QUESO EDAM TAJADAS 185GR,und,11.20
