fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,DKASA LIMPIATODO 4LT FRUT D/BOSQUE,und,13.50
2025-12-02,DKASA LIMPIATODO 4LT BRISA AZUL,und,13.50
2025-12-02,MARSELLA DET. 2 KG AROMATERAPIA,und,25.90
2025-12-02,LIMPIA VIDRIOS 700 ML FACIL,und,9.90
2025-12-02,DKASA LIMPIATODO 4LT FLORAL,und,13.50
2025-12-02,LIMPITO LEJIA CONCENTRADA 5LT,und,9.90
2025-12-02,LIMPITO LAVA-VAJILLA LIMON 1KG,und,5.80
2025-12-02,LIMPITO LAVA-VAJILLA LAVANDA 1KG,und,5.80
2025-12-02,ORION PLUS DETERG. LIMON 1KG,und,7.00
2025-12-02,ORION PLUS DETERG. ROSAS 1 KG,und,7.00
2025-12-02,ORION PLUS DETERG. A/FLORAL 1KG,und,7.00
2025-12-02,DKASA LIMPIATODO 900ML LAVANDA,und,3.40
2025-12-02,SAPOLIO WC WATERMATIC 110 GR,und,11.60
2025-12-02,MULTIUSO DOYPACK 500ML EASY-OFF,und,7.00
2025-12-02,GUANTE CONVENIENTE (M) VIRUTEX,und,5.30
2025-12-02,GUANTE COCINA (XS) VIRUTEX,und,9.50
2025-12-02,GUANTE BAÑO/LAVAND. (M) VIRUTEX,und,11.90
2025-12-02,GUANTE CORRUGADO TALLA (8) VIRUTEX,und,7.50
2025-12-02,ARIEL 4 KG DOBLE PODER C/DOWNY,und,59.90
2025-12-02,ARIEL 4 KG REVITA COLOR,und,67.90
2025-12-02,AYUDIN LIQ. LIMON Y SABILA 900 ML,und,17.50
2025-12-02,SAPOLIO ULTRA LAVA-VAJILLA LIMON 500ML,und,6.80
2025-12-02,VIRUTEX GUANTE CORRUGADO TALLA 9,und,7.50
2025-12-02,AMBIENTADOR 400 ML HAWAIAN BREEZE GLADE,und,9.60
2025-12-02,PAPEL HIGIÉNICO ELITE CELESTE PX 24 UND,und,26.90
2025-12-02,FREGONA D/ALGODÓN (REPUESTO) ROBIN,und,11.70
2025-12-02,YAK ESCOBILLON SUPER,und,18.50
2025-12-02,PH SUAVE JUMBO MALETIN X 24 VERDE,,24.00
2025-12-02,ARIEL 2 KG REGULAR,und,37.90
2025-12-02,VIRUTEX PAÑO ESPONJA ABSORVENTE,und,2.60
2025-12-02,BOLIVAR J/ROPA LIMON 190 GR,und,3.00
2025-12-02,BOLIVAR JAB/ROPA BABY-KIDS 190 GR,und,3.00
2025-12-02,ARIEL DETERG.PROCUIDADO 780 GR,und,10.50
2025-12-02,SAPOLIO MATA PLAGAS CASA & JARDIN 360 ML,und,10.60
2025-12-02,SUAVE D.H X 4 VERDE,und,4.50
2025-12-02,ARIEL 4 KG REGULAR,und,59.90
2025-12-02,ROBIN/YAK ESCOBA PRINCESA,und,10.70
2025-12-02,DOWNY LIBRE ENJUAGUE 2.8 LT SUAVE Y GENTIL,und,28.90
2025-12-02,LIMPIATODO ANTIBAC 3EN1 BEBE 900ML FACIL,und,3.90
2025-12-02,LIMPIATODO ANTIBAC 3EN1 FLORAL 900ML FACIL,und,3.90
2025-12-02,LIMPIATODO ANTIBAC 3EN1 LAVANDA 900ML FACIL,und,3.90
2025-12-02,AYUDIN POTE 520 GR LIMON,und,4.50
