fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,PRESS BATIDOR DE SILICONA 13 CM,und,14.90
2025-12-02,"PRESS ESPATULA DE SILICONA 3,6 CM",und,7.30
2025-12-02,ILKO PELADOR HORIZONTAL,und,8.00
2025-12-02,ILKO ABRELATAS MARIPOSA CLASIC,und,14.00
2025-12-02,HELLO KITTY HERVIDOR HKH001,und,69.00
2025-12-02,PRESS COLADOR 14CM.,und,13.50
2025-12-02,PRESS COLADOR 180CM.,und,18.50
2025-12-02,PRESS CUCHILLO P/CHEF 20 CM..,und,29.50
2025-12-02,PRESS CUCHILLO P/LEGUMBRES 8.5CM.,und,10.50
2025-12-02,BRAZA PALITOS PARRILLEROS X 50 UND,und,4.20
2025-12-02,PAPEL PLATINUM 75 FT.(22.8m x 304mm),und,19.00
