fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,TORTA SELVA NEGRA GRANDE,und,57.00
2025-12-02,BOC.EMPANADA DE BODA X 25UND,und,8.50
2025-12-02,TORTA 4 SABORES,und,72.90
2025-12-02,TORTA RED VELVET,und,51.90
2025-12-02,PAN PULLMAN,und,12.20
2025-12-02,TORTA 2 SABORES #24 CANDY,und,44.90
2025-12-02,BOC.ALFAJORCITO D/ CHOCOLATE X 25UND.,paquete,11.50
2025-12-02,PAN 1/2 MOLDE GRANDE,und,4.50
2025-12-02,TORTA OREO # 24,und,42.90
2025-12-02,PAN MOLDE GRANDE CANDY,und,9.90
2025-12-02,PIE DE MANZANA,und,23.20
2025-12-02,TORTA DE LUCUMA MOLDE,und,65.00
2025-12-02,3 LECHES DE VAINILLA #20 torta,und,41.00
2025-12-02,TORTA HELADA CORAZON,und,40.90
2025-12-02,TORTA 3 LECHES COCO MOLDE,und,69.90
2025-12-02,TORTA DOS SABORES CANDY,und,66.90
2025-12-02,TORTA D/CHANTILLY GRANDE #31,und,53.90
2025-12-02,TORTA D/CHANTILLY MEDIANA #26,und,39.90
2025-12-02,TORTA CHOCOLATE GRANDE # 31,und,65.00
2025-12-02,TORTA SELVA NEGRA D/FRESA #24,und,42.90
2025-12-02,KEKE D/CHOCOLATE MOLDE,und,13.90
2025-12-02,TORTA 3 LECHES MED VAINILLA,und,65.90
2025-12-02,TORTA SELVA NEGRA #20,und,34.90
2025-12-02,TORTA HELADA MOLDE #31,und,45.90
2025-12-02,BUDIN MOLDE,und,22.90
2025-12-02,TORTA OREO MOLDE #31,und,60.90
2025-12-02,TORTA DE CHOCOLATE #20,und,33.90
2025-12-02,BOC.ALFAJORCITO X 25 UND.,und,11.50
2025-12-02,KEKE DE VAINILLA RECTANGULAR 480 GR APROX,und,14.90
2025-12-02,CREMA VOLTEADA MOLDE (T-1),und,46.90
