fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,ARROZ CHAUFA D/CHANCHO ASADO (CHASIU),und,12.90
2025-12-02,PIERNA A LA CAJA CHINA,kg,66.90
2025-12-02,ARROZ CHAUFA DE CECINA CANDY,und,13.50
2025-12-02,COMBO PERUANO (2 PERSONAS),und,38.20
2025-12-02,CHICHARRON D/PANCETA KG.,kg,93.90
2025-12-02,COMBO CRIOLLO,und,12.50
2025-12-02,COMBO PAN C/CHICHARRON (PIERNA) + CAFE EN GRANOS COMBO,und,10.50
2025-12-02,TALLARIN SALTADO CRIOLLO D/ POLLO,und,12.50
2025-12-02,SUPER COMBO CANDY (2 PERSONAS),und,31.90
2025-12-02,COMBO(CHORIZO ARTESANAL + CAFE EN GRANOS),und,8.90
2025-12-02,MILANESA C/PAPAS,und,12.50
2025-12-02,COMB. PAN C/CHI PANCETA CHICO + CAFE EN GRANOS,und,12.90
2025-12-02,SALTADO CON LOMO FINO DE CERDO A LA CARTA,und,15.90
2025-12-02,AEROPUERTO CANDY A LA CARTA,und,12.90
2025-12-02,COMBO (PAN C/ASADO + CAFE EN GRANOS),und,8.50
2025-12-02,ARROZ CHAUFA SALVAJE A LA CARTA,und,12.90
2025-12-02,MILANESA DE CERDO C/ PAPAS,und,12.90
2025-12-02,DESAYUNO FRANCES(OMEL+JGO.N+CAFE+LECHE),und,12.90
2025-12-02,ARROZ CHAUFA C/ CHANCHO A LA CAJA CHINA,und,13.90
2025-12-02,SALTADO DE LOMO FINO DE RES CANDY,und,30.90
2025-12-02,CHULETA C/PAPAS,und,15.90
2025-12-02,BISTECK A LO POBRE,und,17.90
