fecha_extraccion,nombre_producto,unidad_medida,precio_por_unidad
2025-12-02,H&S SHAMP. 375 ML SUAVE MANEJABLE,und,18.50
2025-12-02,PROTEX TRIPACK LIMPIEZA PROFUNDA 330 GR,und,12.50
2025-12-02,H&S SHAMPOO DERMO SENSITIVE 375ML,und,19.50
2025-12-02,SEDAL SHAMP. 340 ML KERATINA,und,11.90
2025-12-02,SAVITAL SHAMPOO SERUM AMINOACIDOS 510ML,und,12.90
2025-12-02,SAVITAL SHAMPOO 510 ML MULTIOLEOS Y SABILA,und,12.90
2025-12-02,SAVITAL SHAMPOO 510 ML ANTICASPA SUAVIDAD,und,12.50
2025-12-02,GRISI JABON AVENA 125 GR.,und,6.30
2025-12-02,GRISI JABON JALEA REAL 125GR,und,6.30
2025-12-02,GRISI JAB.LECHE D/BURRA HIDRATANTE 125GR,und,6.30
2025-12-02,NOSOTRAS BUENAS NOCHES 10 UND,und,9.60
2025-12-02,DOVE JAB 90 GR KARITE,und,4.50
2025-12-02,DOVE JABON 90 GR ANTIBACTERIANO,und,4.50
2025-12-02,DOVE JAB 90 GR TRADICIONAL,und,4.50
2025-12-02,SECRET ANTITRANSP.GEL BERRY 45GR,und,14.00
2025-12-02,SECRET ANTITRANSP.GEL JASMIN 45GR,und,14.00
2025-12-02,NOSOTRAS PAÑITOS HUMEDOS X 80,und,25.90
2025-12-02,NOSOTRAS NATURAL INV. PX30,und,12.90
2025-12-02,NOSOSOTRAS INVISIBLE DESODORANTE X 10 UND,und,6.90
2025-12-02,SEDAL SHAMP. 340 ML LISO PERFECTO,und,11.90
2025-12-02,SEDAL SHAMP. 340 ML CERAMIDAS,und,11.90
2025-12-02,SAVITAL SHAMPOO HIDRATACION INTEN. 510ML,und,12.90
2025-12-02,SAVITAL SHAMPOO 510 ML MULTIVITAMINAS Y SABILA,und,12.90
2025-12-02,SAVITAL SHAMPOO 510 ML COLAGENO Y SABILA,und,12.90
2025-12-02,SAVITAL ACOND.490ML MULTIOLEOS Y SABILA,und,12.90
2025-12-02,SAVITAL ACONDICIONADOR AMINOACIDO 490ML,und,12.90
2025-12-02,SAVITAL ACONDIC.HIDRATACION INTENSA 490ML,und,12.90
2025-12-02,SAVITAL ACOND. 490 ML COLAGENO Y SABILA,und,12.90
2025-12-02,SAVITAL ACOND. 510 ML MULTIVITAMINAS Y SABILA,und,12.90
2025-12-02,SEDAL ACOND. 340 ML CERAMIDAS,und,11.90
2025-12-02,PASTA TRIPLE ACCION 100 ML X 2,paquete,15.50
2025-12-02,H&S SHAMPOO FUERZA D/RAIZ 375ML,und,18.50
2025-12-02,TISSUE DE CARTERA SANRIO X 10 UND,und,5.80
2025-12-02,TOALLITAS DESECHABLES HELLO KITTY/MINNIE,und,8.20
2025-12-02,CLEAR MEN SHAMP. ICE COOL MENTHOL 400 ML,und,16.90
2025-12-02,CLEAR MEN SHAMP. DUAL EFFECT 2EN1 400 ML,und,16.90
2025-12-02,CLEAR MEN SHAMP. CAIDA CONTROL 400 ML,und,16.90
2025-12-02,JABON LIQ. P/MANOS LT COCO%VAINILLA BACTERION,und,14.20
2025-12-02,JABON LIQ. P/MANOS LT HIDRATANTE BACTERION,und,14.20
2025-12-02,JABON LIQ.400 ML ANTIBACTERIAL PASION CITRICA,und,6.50
2025-12-02,SEDAL SHAMP. 340 ML DUO 2EN1,und,11.90
2025-12-02,PROTEX TRIPACK AVENA 330 GR,und,12.50
2025-12-02,H&S SHAMP. 375 ML PROTECCION CAIDA,und,18.50
2025-12-02,H&S SHAMP. 375 ML MANZANA FRESH,und,18.50
2025-12-02,H&S SHAMP. 375 ML LIMPIEZA RENOVADORA,und,19.50
2025-12-02,H&S SHAMP. 375 ML HUMECTACION,und,19.50
2025-12-02,H&S SHAMP. 375 ML HIDRATACION ACEITE DE COCO,und,18.50
2025-12-02,H&S SHAMP. 375 ML CARBON,und,18.50
2025-12-02,H&S SHAMP. 375 ML 2 EN 1 LIMPIE RENOV,und,19.50
2025-12-02,HENO DE PRAVIA NATURAL 150 GR,und,6.50
2025-12-02,DOVE 50 GR DERMO ACLARANT STICK,und,15.20
2025-12-02,DOVE 50 GR ORIGINAL STICK,und,15.20
2025-12-02,DOVE 50 ML DERMO ACLARANT ROLL-ON,und,13.90
2025-12-02,PROTEX JABON FRESH TRIPACK,und,12.50
2025-12-02,PROTEX JABON DETOX 330GR X 3,und,12.50
2025-12-02,JABON LIQ.400 ML ANTIB.MAGICA-VAINILLA,und,6.50
2025-12-02,JOHNSONS JABON TRIPACK ORIGINAL X 330 GR,tira,11.90
2025-12-02,DOVE 150 ML CREMA HUM. CLEAR TONE,und,13.90
2025-12-02,DOVE 150 ML MEN EXTRA FRESH SPRAY,und,13.00
2025-12-02,DOVE ANT.MEN+CARE SPORT 150ML,und,12.90
2025-12-02,DOVE 150 ML WOMEN SENSITIVE SPRAY,und,14.30
2025-12-02,DOVE DESOD AEROS ORIGINAL 150ML,und,13.90
2025-12-02,GLICI JABON LIQUIDO FLOR D/CEREZO 400 GR,und,5.50
2025-12-02,COLGATE LUMINOUS WHITE 125ML,und,23.50
2025-12-02,COLGATE LUMINOUSE WHITE CARBON ACTIVADO 75 ML,und,13.90
2025-12-02,COLGATE PASTA TRIPLE ACCION 150 ML,und,11.20
2025-12-02,COLGATE LUMINOUS WHITE LOVERS 70GR,und,20.90
2025-12-02,COLGATE CEP. EXTRA CLEAN FIRME X 2,und,10.50
2025-12-02,COLGATE CEP.PREMIER CLEAN,und,3.30
2025-12-02,COLGATE CEP.PRO CUIDADO X 3,paquete,18.50
2025-12-02,COLGATE CEP.360° LUMINOUS WHITE 2X1,und,22.90
2025-12-02,COLGATE CEP.BARBIE/SPIDERMAN 5+,und,12.50
2025-12-02,COLGATE CEP.INTERDENTAL 2 X 1,und,24.90
2025-12-02,COLGATE CEP.TRIPLE ACCION,und,4.60
2025-12-02,COLGATE CEP.TRIPLE ACCION 2 X 1,und,10.90
2025-12-02,LISTERINE 500 ML ANTICARIES ZERO ALCOHOL,und,22.90
