Fecha,Salario_minimo,Tipo_de_valor
Jan91,38.0,Historial
Feb91,38.0,Historial
Mar91,38.0,Historial
Apr91,38.0,Historial
May91,38.0,Historial
Jun91,38.0,Historial
Jul91,38.0,Historial
Aug91,38.0,Historial
Sep91,38.0,Historial
Oct91,38.0,Historial
Nov91,38.0,Historial
Dec91,38.0,Historial
Jan92,38.0,Historial
Feb92,72.0,Historial
Mar92,72.0,Historial
Apr92,72.0,Historial
May92,72.0,Historial
Jun92,72.0,Historial
Jul92,72.0,Historial
Aug92,72.0,Historial
Sep92,72.0,Historial
Oct92,72.0,Historial
Nov92,72.0,Historial
Dec92,72.0,Historial
Jan93,72.0,Historial
Feb93,72.0,Historial
Mar93,72.0,Historial
Apr93,72.0,Historial
May93,72.0,Historial
Jun93,72.0,Historial
Jul93,72.0,Historial
Aug93,72.0,Historial
Sep93,72.0,Historial
Oct93,72.0,Historial
Nov93,72.0,Historial
Dec93,72.0,Historial
Jan94,72.0,Historial
Feb94,72.0,Historial
Mar94,72.0,Historial
Apr94,132.0,Historial
May94,132.0,Historial
Jun94,132.0,Historial
Jul94,132.0,Historial
Aug94,132.0,Historial
Sep94,132.0,Historial
Oct94,132.0,Historial
Nov94,132.0,Historial
Dec94,132.0,Historial
Jan95,132.0,Historial
Feb95,132.0,Historial
Mar95,132.0,Historial
Apr95,132.0,Historial
May95,132.0,Historial
Jun95,132.0,Historial
Jul95,132.0,Historial
Aug95,132.0,Historial
Sep95,132.0,Historial
Oct95,132.0,Historial
Nov95,132.0,Historial
Dec95,132.0,Historial
Jan96,132.0,Historial
Feb96,132.0,Historial
Mar96,132.0,Historial
Apr96,132.0,Historial
May96,132.0,Historial
Jun96,132.0,Historial
Jul96,132.0,Historial
Aug96,132.0,Historial
Sep96,132.0,Historial
Oct96,215.0,Historial
Nov96,215.0,Historial
Dec96,215.0,Historial
Jan97,215.0,Historial
Feb97,215.0,Historial
Mar97,215.0,Historial
Apr97,265.0,Historial
May97,300.0,Historial
Jun97,300.0,Historial
Jul97,300.0,Historial
Aug97,300.0,Historial
Sep97,345.0,Historial
Oct97,345.0,Historial
Nov97,345.0,Historial
Dec97,345.0,Historial
Jan98,345.0,Historial
Feb98,345.0,Historial
Mar98,345.0,Historial
Apr98,345.0,Historial
May98,345.0,Historial
Jun98,345.0,Historial
Jul98,345.0,Historial
Aug98,345.0,Historial
Sep98,345.0,Historial
Oct98,345.0,Historial
Nov98,345.0,Historial
Dec98,345.0,Historial
Jan99,345.0,Historial
Feb99,345.0,Historial
Mar99,345.0,Historial
Apr99,345.0,Historial
May99,345.0,Historial
Jun99,345.0,Historial
Jul99,345.0,Historial
Aug99,345.0,Historial
Sep99,345.0,Historial
Oct99,345.0,Historial
Nov99,345.0,Historial
Dec99,345.0,Historial
Jan00,345.0,Historial
Feb00,345.0,Historial
Mar00,391.129032258065,Historial
Apr00,410.0,Historial
May00,410.0,Historial
Jun00,410.0,Historial
Jul00,410.0,Historial
Aug00,410.0,Historial
Sep00,410.0,Historial
Oct00,410.0,Historial
Nov00,410.0,Historial
Dec00,410.0,Historial
Jan01,410.0,Historial
Feb01,410.0,Historial
Mar01,410.0,Historial
Apr01,410.0,Historial
May01,410.0,Historial
Jun01,410.0,Historial
Jul01,410.0,Historial
Aug01,410.0,Historial
Sep01,410.0,Historial
Oct01,410.0,Historial
Nov01,410.0,Historial
Dec01,410.0,Historial
Jan02,410.0,Historial
Feb02,410.0,Historial
Mar02,410.0,Historial
Apr02,410.0,Historial
May02,410.0,Historial
Jun02,410.0,Historial
Jul02,410.0,Historial
Aug02,410.0,Historial
Sep02,410.0,Historial
Oct02,410.0,Historial
Nov02,410.0,Historial
Dec02,410.0,Historial
Jan03,410.0,Historial
Feb03,410.0,Historial
Mar03,410.0,Historial
Apr03,410.0,Historial
May03,410.0,Historial
Jun03,410.0,Historial
Jul03,410.0,Historial
Aug03,410.0,Historial
Sep03,435.0,Historial
Oct03,460.0,Historial
Nov03,460.0,Historial
Dec03,460.0,Historial
Jan04,460.0,Historial
Feb04,460.0,Historial
Mar04,460.0,Historial
Apr04,460.0,Historial
May04,460.0,Historial
Jun04,460.0,Historial
Jul04,460.0,Historial
Aug04,460.0,Historial
Sep04,460.0,Historial
Oct04,460.0,Historial
Nov04,460.0,Historial
Dec04,460.0,Historial
Jan05,460.0,Historial
Feb05,460.0,Historial
Mar05,460.0,Historial
Apr05,460.0,Historial
May05,460.0,Historial
Jun05,460.0,Historial
Jul05,460.0,Historial
Aug05,460.0,Historial
Sep05,460.0,Historial
Oct05,460.0,Historial
Nov05,460.0,Historial
Dec05,460.0,Historial
Jan06,500.0,Historial
Feb06,500.0,Historial
Mar06,500.0,Historial
Apr06,500.0,Historial
May06,500.0,Historial
Jun06,500.0,Historial
Jul06,500.0,Historial
Aug06,500.0,Historial
Sep06,500.0,Historial
Oct06,500.0,Historial
Nov06,500.0,Historial
Dec06,500.0,Historial
Jan07,500.0,Historial
Feb07,500.0,Historial
Mar07,500.0,Historial
Apr07,500.0,Historial
May07,500.0,Historial
Jun07,500.0,Historial
Jul07,500.0,Historial
Aug07,500.0,Historial
Sep07,500.0,Historial
Oct07,530.0,Historial
Nov07,530.0,Historial
Dec07,530.0,Historial
Jan08,550.0,Historial
Feb08,550.0,Historial
Mar08,550.0,Historial
Apr08,550.0,Historial
May08,550.0,Historial
Jun08,550.0,Historial
Jul08,550.0,Historial
Aug08,550.0,Historial
Sep08,550.0,Historial
Oct08,550.0,Historial
Nov08,550.0,Historial
Dec08,550.0,Historial
Jan09,550.0,Historial
Feb09,550.0,Historial
Mar09,550.0,Historial
Apr09,550.0,Historial
May09,550.0,Historial
Jun09,550.0,Historial
Jul09,550.0,Historial
Aug09,550.0,Historial
Sep09,550.0,Historial
Oct09,550.0,Historial
Nov09,550.0,Historial
Dec09,550.0,Historial
Jan10,550.0,Historial
Feb10,550.0,Historial
Mar10,550.0,Historial
Apr10,550.0,Historial
May10,550.0,Historial
Jun10,550.0,Historial
Jul10,550.0,Historial
Aug10,550.0,Historial
Sep10,550.0,Historial
Oct10,550.0,Historial
Nov10,550.0,Historial
Dec10,580.0,Historial
Jan11,580.0,Historial
Feb11,600.0,Historial
Mar11,600.0,Historial
Apr11,600.0,Historial
May11,600.0,Historial
Jun11,600.0,Historial
Jul11,600.0,Historial
Aug11,640.0,Historial
Sep11,675.0,Historial
Oct11,675.0,Historial
Nov11,675.0,Historial
Dec11,675.0,Historial
Jan12,675.0,Historial
Feb12,675.0,Historial
Mar12,675.0,Historial
Apr12,675.0,Historial
May12,675.0,Historial
Jun12,750.0,Historial
Jul12,750.0,Historial
Aug12,750.0,Historial
Sep12,750.0,Historial
Oct12,750.0,Historial
Nov12,750.0,Historial
Dec12,750.0,Historial
Jan13,750.0,Historial
Feb13,750.0,Historial
Mar13,750.0,Historial
Apr13,750.0,Historial
May13,750.0,Historial
Jun13,750.0,Historial
Jul13,750.0,Historial
Aug13,750.0,Historial
Sep13,750.0,Historial
